headword_as_printed	expanded_form	inflection	pos	glosses	source_page	image_verified	scan_url
Ազգովիմբ, Ազգովին			ad.	throughout the nation, nationally.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգովին			ad.	throughout the nation, nationally.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազդ			s.	sensation, feeling; advice	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազդական			a.	advising, monitorial; penetrative, energetic, efficacious.; advising, monitorial:	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազդարան			s.	place where a public notice is proclaimed; instrument with which notice is given, horn, trumpet.; place where a public notice is proclaimed: instrument with which notice is given, horn, trumpet.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազդարար			a.	monitorial, advising; monitor, adviser.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազդարարութիւն			s.	advice, admonition, counsel; warning, summons; notice, information.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազդելի			a.	sensible; sensitive.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգաթիւ			s.	relation; genealogy; lineage.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազդելիք			s. pl.	the senses.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազդեմ		եցի	va.	to inform, to advertise, to announce; to influence, to inspire, to dictate; to work upon, move or affect; to suggest, to insinuate.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազդեցական			a.	efficacious, energetic.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազդեցիկ			a.	efficacious, energetic.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազդեցութիւն			s.	notice, warning, admonition; perception, instinct; inspiration; suggestion, instigation; efficacy, force, power; emphasis, energy.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազդեցումն			s.	notice, warning, admonition; perception, instinct; inspiration; suggestion, instigation; efficacy, force, power; emphasis, energy.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազդեցուցանեմ					dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազդիչ			a.	efficacious, energetic; viser.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազդողաբար			ad.	efficaciously, energetically.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազդողական			a.	efficacious, energetic.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազդողութիւն					dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազդոյ			a.	efficacious, strong, energetic, penetrative; pathetic, expressive, emphatic, significative; active, vehement, spirituous, violent.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազդու			a.	efficacious, strong, energetic, penetrative; pathetic, expressive, emphatic, significative; active, vehement, spirituous, violent.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազդումն					dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազդր		դեր	s.	thigh; back.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազն		ազին, զինք, զանց	s.	nation, people, generation.; nation, people, generation	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնիւ		նուի, ուաց	a.	fine, good, exquisite, excellent, precious, rare, choice, worthy; noble, great; genteel, civil; well! very well! bravo!	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուաբար			ad.	genteelly, civilly; nobly, generously.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուաբարոյ		ից	a.	genteel, civil, well-mannered; noble, generous.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուագին			a.	precious, dear, rare.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուագութ			a.	benign, clement, kind, merciful, humane.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուազարմ			a.	noble, illustrious, of a noble family.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուազգի			a.	of noble nation, race.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուազգութիւն			s.	nobility of nation, race.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուախոհ			a.	who has noble sentiments.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուական			a.	civil, genteel, noble, generous; gentleman.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուականութիւն			s.	nobility, birth, gentility; civility, genteelness; generosity, nobleness.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուամիտ			a.	of good sentiments, noble, generous.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուամտութիւն			s.	nobility of sentiments.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուանամ		ացայ	vn.	to grow better, to mend; to receive a grant of nobility; to be ennobled, to become noble.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուապաշտօն			a.	pious, religious, devout.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուապետ		ի	s.	aristocrat.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուապետական			a.	aristocratic.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուապետութիւն			s.	aristocracy.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուասիրտ			a.	who has a noble heart.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուասրտութիւն			s.	nobility of heart.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուատոհմ			a.	noble, of a noble family.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուատոհմութիւն			s.	nobility of family, high birth.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուացուցանեմ		ուցի	va.	to improve, to civilize; to refine; to confer a title, to grant nobility, to ennoble.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազնուութիւն			s.	fineness, goodness, costliness, excellence, rarity; genteelness, civility; dignity, nobility.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Աթար			s.	dry cow's dung.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Աթոռ		ոց	s.	chair, seat; stool; throne; bench	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Աթոռագործ			s.	chair-maker.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Աթոռաժառանգ			s.	possessor, successor to any place or dignity.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Աթոռակ		աց	s.	stool; foot-stool.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Աթոռակալ		աց	s.	vicar; vice-president; successor.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Աթոռակալութիւն			s.	vicarship, vicarage; possession of a chair, succession to a dignity.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Աթոռակից			s.	colleague or companion in the same dignity, or on the same throne.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Աթոռակցութիւն			s.	company on the same throne.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Աթութայք		յից	s.pl.	elements, letters, characters, alphabet.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Աթուր					dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Աժան			a. ad.	cheap, cheaply	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Աժէք		էից	s. pl.	value, price.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալ					dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալապաստր			s.	alabaster.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալաւունք			s. pl.	the pleiades or pleiads	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալաւունք			s. pl.	the pleiades or pleiads	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալեզարդ			a.	gray-haired, gray-headed.; gray-haired,gray-headed.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալեսաստ					dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալերախառն			a.	farinaceous, mixed with flour, mealy.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալերավաճառ			s.	meal-man.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազոխ		ից	s.	sour grapes.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ազոխաջուր			s.	verjuice.	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալաւսունք			s. pl.	the pleiades or pleiads	dict-038.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալեւոր			s.	gray-haired; old man.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալեւորիմ		եցայ	vn.	to grow gray-haired, to grow old.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալեւորութիւն			s.	old age, the state of being gray-haired.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալէլուիա			s.	hallelujah.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալէխառն			a.	gray, gray-haired.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալէծուփ			a.	subject to tempests, tempest-beaten, floating, agitated, troubled	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալէծուփ, Ալէկոծ			a.	subject to tempests, tempest-beaten, floating, agitated, troubled	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալէկոծեմ		եցի	va.	to beat to and fro; to agitate violently, to trouble.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալէկոծիմ		եցայ	vn.	to float, to chafe, to grow troubled or agitated.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալէկոծութիւն			s.	agitation of the sea, storm, tempest: trouble, agitation.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալէկոծութիւն, Ալէկոծումն			s.	agitation of the sea, storm, tempest: trouble, agitation.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալէտանջ			a.	floating, swelling, rough.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալէտանջ, Ալէտատան			a.	floating, swelling, rough.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալի		ւոյ	s.	axle; millstone; pulley; phantom.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալիասաստ			a.	having large waves, swelling, stormy; subject to tempests.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալիւր		ալեր	s.	meal, flour	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալիք		ալեաց	s.pl.	wave, billow, surge, swell of the sea; gray hairs, old age; wave, billow, surge, swell of the sea: gray hairs, old age	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալոճ		ից	s.	a small medlar.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալոճենի			s.	small medlar-tree.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալուց		ալցի	s. a.	hollow, cavity, inside; hollow, interior, deep.; hollow, cavity, inside: hollow, interior, deep.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալփաբետք			s. pl.	alphabet.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալփաբետք, Ալփավիտք			s. pl.	alphabet.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալք		ալուց, ալից	s. pl.		dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ալքիմիա			s.	alchemy.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ա՜խ			int.	ah! alas!	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ա՜խ			int.	ah! alas!	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախաղ			s.	ermine.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախակիա			s.	acacia.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախամուխ			a.	foolish, gross-headed.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախտաբոյզ			a.	highwayman; indocile, ferocious.; indocile, ferocious.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախտակղապէս			s.	hanging cornice.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախերակ			a.	vain.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախերական, յԱխերկան			ad.	vainly.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախճապակ					dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախմար				etc.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախոյան, ից, աց, Ախոյեան, ենի, ից		ից, աց	s.	antagonist, adversary, opponent; rival, competitor: champion, hero; triumpher.; rival, competitor; champion, hero; triumpher.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախոյեան		ից, աց	s.	antagonist, adversary, opponent; rival, competitor; champion, hero; triumpher.; rival, competitor: champion, hero	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախոյանաբար			ad.	as an antagonist; valiantly, heroically.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախոնդանոտ			a.	hypochondriac.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախոնդանք		նաց	s. pl.	hypochondria: entrails, intestines, pluck.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախոնդանք, նաց, Ախոնդիք, դեաց		դեաց	s. pl.	hypochondria: entrails, intestines, pluck.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախոռ		ոյ	s.	stall, stable.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախոռապան		աց	s.	groom.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախոռապետ			s.	equerry; groom.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժ			a.	savoury; sweet, agreeable, delicious	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժք		ից	s. pl.	appetite; desire, wish; savour, taste; satisfaction, pleasure	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժաբար			ad.	with appetite; with pleasure, readily, willingly.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժաբեր			a.	appetizing, attractive.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժալից			a.	full of pleasure, agreeable.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժալուր			a.	who grants, accords, listens willingly; pleasurable to the ear, gratifying.; who grants, accords, listens willingly; pleasurable to the ear, gratifying.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժակ		աց	s.	taste; appetite; affection, will, inclination, willingness; passion, sentiment	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժական			a.	pleasing, agreeable, sweet, amiable, delightful.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժահամ			a.	pleasing to the taste, savoury, sweet; good to eat, savoury.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժահամ, Ախորժաճաշակ			a.	pleasing to the taste, savoury, sweet; good to eat, savoury.; good to eat, savoury.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժանք			s. pl.	appetite; desire, pleasure	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժելի			a.	desirable, pleasing, agreeable.; desirable, pleasing,	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժեմ		եցի	va.	to taste of, to relish, to like; to love, to take pleasure in; to desire, to aim at	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժեցուցանեմ		ուցի	va.	to inspire gratification, taste, pleasure.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախժինք, Ախժիք			s.	dregs.	dict-039.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf17.jpg
Ախորժիմ					dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախորժութիւն			s.	pleasure; taste.; pleasure, taste.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախորժումն			s.	pleasure; taste.; pleasure, taste.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտ		ից	s.	illness; disease; indisposition; affection; passion; vice; bad habit; menses; seed of man; illness, disease, indisposition; affection, passion; vice, bad habit	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտաբան			s.	pathologist.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտաբանական			a.	pathological.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտաբանութիւն			s.	pathology.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտաբար			ad.	viciously; passionately.; viciously, passionately.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտաբեկ			a.	crushed; oppressed by illness.; crushed, oppressed by illness.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտաբեր			a.	morbific; engendering diseases or passions.; morbific, engendering diseases or passions.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտաբոյժ			s.a.	physician; that cures diseases; restorative.; that cures diseases, restorative.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
Ախտագնիմ		եցայ	vn.	to be ill; indisposed; sick.; to be ill, indisposed, sick.	dict-040.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf18.jpg
